sym_state,temperature_K,Rdark_umol.cm2.hr_corr_abs_value
apo,291.15,145.3116201
apo,291.15,549.91253
apo,291.15,626.7558491
apo,291.15,195.9556621
apo,291.15,275.8067649
apo,291.15,307.7353605
apo,291.15,258.6490605
apo,291.15,5.66924857
apo,285.15,133.9382715
apo,288.15,42.9794753
apo,279.15,103.4506711
apo,282.15,102.9275061
apo,285.15,103.9913375
apo,288.15,315.3796475
apo,279.15,146.9681396
apo,282.15,11.2727957
apo,285.15,217.4538787
apo,288.15,404.5009175
apo,279.15,26.27262285
apo,282.15,426.0834279
apo,285.15,112.1376772
apo,288.15,365.7070405
apo,279.15,26.58178632
apo,282.15,197.2802027
apo,285.15,75.8037409
apo,288.15,115.7461186
apo,279.15,24.98177903
apo,282.15,102.9462297
apo,285.15,92.78435316
apo,288.15,165.6048509
apo,279.15,4.243386809
apo,282.15,135.497276
apo,285.15,114.2776459
apo,288.15,268.2457838
apo,279.15,65.65491928
apo,282.15,206.334249
apo,285.15,64.79445815
apo,288.15,117.1375154
apo,279.15,5.921126827
apo,282.15,148.5070321
apo,295.15,350.2411817
apo,299.15,395.8854413
apo,302.15,357.2815218
apo,305.15,303.130469
apo,295.15,1011.635152
apo,299.15,973.9349516
apo,302.15,1099.306159
apo,305.15,502.9787353
apo,295.15,1081.478281
apo,299.15,1217.556749
apo,302.15,727.5764669
apo,305.15,428.0089204
apo,295.15,436.2284237
apo,299.15,488.3257582
apo,302.15,532.4117896
apo,305.15,379.8551323
apo,295.15,698.3392331
apo,299.15,858.2100142
apo,302.15,454.7043879
apo,305.15,509.4904201
apo,295.15,598.5554184
apo,299.15,560.9765086
apo,302.15,286.5851961
apo,305.15,297.0544098
apo,295.15,565.2082076
apo,299.15,510.1052684
apo,302.15,501.7529393
apo,305.15,412.9781998
apo,295.15,540.4038611
apo,299.15,666.5229658
apo,302.15,440.7493096
apo,305.15,259.913966
