,Date_holo,Chamber.Channel_holo,Genotype_holo,TempC_holo,TempK_holo,Origin_holo,colorstate,Color_holo,Rdark_umol.cm2.hr_corr,abs_Rcorr,ln_R
241,20170710,10,WBC,18,291.15,RI,RI_brown,brown,-0.429373722,0.429373722,-0.845427592
88,20170712,6,WBF,18,291.15,RI,RI_brown,brown,-0.712960631,0.712960631,-0.338329076
251,20170707,6,WBG,18,291.15,RI,RI_brown,brown,-0.523230198,0.523230198,-0.647733763
256,20170708,3,WBI,18,291.15,RI,RI_brown,brown,-0.424817467,0.424817467,-0.856095692
261,20170708,4,WBK,18,291.15,RI,RI_brown,brown,-0.62729889,0.62729889,-0.466332153
108,20170716,9,WBN,18,291.15,RI,RI_brown,brown,-0.531447082,0.531447082,-0.63215165
113,20170714,7,WBO,18,291.15,RI,RI_brown,brown,0.046667344,0.046667344,-3.064710631
118,20170716,3,WBP,18,291.15,RI,RI_brown,brown,-0.394949079,0.394949079,-0.928998436
81,20170714,5,WBC,12,285.15,RI,RI_brown,brown,-0.300725335,0.300725335,-1.201557939
82,20170714,5,WBC,15,288.15,RI,RI_brown,brown,-0.241604936,0.241604936,-1.420451383
84,20170714,5,WBC,6,279.15,RI,RI_brown,brown,0.013954972,0.013954972,-4.271919418
85,20170714,5,WBC,9,282.15,RI,RI_brown,brown,-0.250992159,0.250992159,-1.382333579
86,20170712,6,WBF,12,285.15,RI,RI_brown,brown,0.025697014,0.025697014,-3.661380481
87,20170712,6,WBF,15,288.15,RI,RI_brown,brown,-0.27793461,0.27793461,-1.280369409
89,20170712,6,WBF,6,279.15,RI,RI_brown,brown,0.303838992,0.303838992,-1.191257349
90,20170712,6,WBF,9,282.15,RI,RI_brown,brown,-0.032995751,0.032995751,-3.411376483
91,20170712,10,WBG,12,285.15,RI,RI_brown,brown,-0.192931326,0.192931326,-1.645420977
92,20170712,10,WBG,15,288.15,RI,RI_brown,brown,-0.232805451,0.232805451,-1.457552148
94,20170712,10,WBG,6,279.15,RI,RI_brown,brown,0.389517808,0.389517808,-0.942845695
95,20170712,10,WBG,9,282.15,RI,RI_brown,brown,0.072790881,0.072790881,-2.620164593
96,20170713,10,WBI,12,285.15,RI,RI_brown,brown,0.020797649,0.020797649,-3.872915328
97,20170713,10,WBI,15,288.15,RI,RI_brown,brown,-0.341343982,0.341343982,-1.074864565
99,20170713,10,WBI,6,279.15,RI,RI_brown,brown,0.139793931,0.139793931,-1.967585862
100,20170713,10,WBI,9,282.15,RI,RI_brown,brown,-0.503357025,0.503357025,-0.686455569
101,20170713,3,WBK,12,285.15,RI,RI_brown,brown,0.100876538,0.100876538,-2.293857906
102,20170713,3,WBK,15,288.15,RI,RI_brown,brown,0.040574438,0.040574438,-3.204617017
104,20170713,3,WBK,6,279.15,RI,RI_brown,brown,0.016889065,0.016889065,-4.081088908
105,20170713,3,WBK,9,282.15,RI,RI_brown,brown,-0.355655841,0.355655841,-1.033791754
106,20170716,9,WBN,12,285.15,RI,RI_brown,brown,-0.056264352,0.056264352,-2.877694124
107,20170716,9,WBN,15,288.15,RI,RI_brown,brown,-0.032760242,0.032760242,-3.418539633
109,20170716,9,WBN,6,279.15,RI,RI_brown,brown,-0.179681307,0.179681307,-1.716570514
110,20170716,9,WBN,9,282.15,RI,RI_brown,brown,-0.289186982,0.289186982,-1.240681804
111,20170714,7,WBO,12,285.15,RI,RI_brown,brown,-0.158549302,0.158549302,-1.84168968
112,20170714,7,WBO,15,288.15,RI,RI_brown,brown,-0.341152524,0.341152524,-1.075425617
114,20170714,7,WBO,6,279.15,RI,RI_brown,brown,0.06441938,0.06441938,-2.742340759
115,20170714,7,WBO,9,282.15,RI,RI_brown,brown,-0.188707711,0.188707711,-1.667555964
116,20170716,3,WBP,12,285.15,RI,RI_brown,brown,0.130783696,0.130783696,-2.034210496
117,20170716,3,WBP,15,288.15,RI,RI_brown,brown,0.339753983,0.339753983,-1.079533503
119,20170716,3,WBP,6,279.15,RI,RI_brown,brown,-0.181337515,0.181337515,-1.70739526
120,20170716,3,WBP,9,282.15,RI,RI_brown,brown,0.026539052,0.026539052,-3.62913797
