sym_state,temperature_K,Rdark_umol.cm2.hr_corr_abs_value
sym,279.15,0.013954972
sym,279.15,0.303838992
sym,279.15,0.389517808
sym,279.15,0.139793931
sym,279.15,0.016889065
sym,279.15,0.179681307
sym,279.15,0.06441938
sym,279.15,0.181337515
sym,282.15,0.250992159
sym,282.15,0.032995751
sym,282.15,0.072790881
sym,282.15,0.503357025
sym,282.15,0.355655841
sym,282.15,0.289186982
sym,282.15,0.188707711
sym,282.15,0.026539052
sym,285.15,0.300725335
sym,285.15,0.025697014
sym,285.15,0.192931326
sym,285.15,0.020797649
sym,285.15,0.100876538
sym,285.15,0.056264352
sym,285.15,0.158549302
sym,285.15,0.130783696
sym,288.15,0.241604936
sym,288.15,0.27793461
sym,288.15,0.232805451
sym,288.15,0.341343982
sym,288.15,0.040574438
sym,288.15,0.032760242
sym,288.15,0.341152524
sym,288.15,0.339753983
sym,291.15,0.429373722
sym,291.15,0.712960631
sym,291.15,0.523230198
sym,291.15,0.424817467
sym,291.15,0.62729889
sym,291.15,0.531447082
sym,291.15,0.046667344
sym,291.15,0.394949079
sym,295.15,0.806207614
sym,295.15,0.987391893
sym,295.15,1.422895855
sym,295.15,0.49166755
sym,295.15,0.776045932
sym,295.15,1.047890131
sym,295.15,0.688610684
sym,295.15,1.020643539
sym,299.15,0.851290375
sym,299.15,0.905974207
sym,299.15,1.26634677
sym,299.15,0.424420171
sym,299.15,0.839788893
sym,299.15,1.31651845
sym,299.15,0.77275379
sym,299.15,0.965351567
sym,302.15,0.884086734
sym,302.15,1.065038279
sym,302.15,1.45660482
sym,302.15,0.120737439
sym,302.15,0.826089216
sym,302.15,0.926851982
sym,302.15,0.596612928
sym,302.15,1.504285541
sym,305.15,0.462696906
sym,305.15,0.472897284
sym,305.15,0.375901408
sym,305.15,0.40932977
sym,305.15,0.570340481
sym,305.15,1.047985287
sym,305.15,0.271468108
sym,305.15,0.733020991
