beetag,sym_state,treatment,tank_no,pic_day,food,light,col_num,date,sacrifice_no,broken_airbrush,broken_skeleton,tin_weight,dry_weight,difference_dw.tw,AF_dry_weight,difference_dw.af,biomass,SA_foilweight_1,SA_foilweight_2,SA_foilweight_3,SA_foilweight_AVG,SA_stdev,multiplier,SA_AVG,biomass_cm2,sample_no,polyp_num,g_per_polyp,biomass_mg_cm2,average_g_cm2
B100W49,Aposymbiotic,Fed High Light,13,A,fed,high,145,3/22/24,30,0,0,2.2291,2.241,0.0119,2.2361,0.0049,0.0049,0.0234,0.0221,0.0234,0.022966667,0.000750555,0.003680476,6.240135708,0.000785239,61,22,0.000222727,0.785239,0.001883505
B11W44,Aposymbiotic,Fed High Light,14,A,fed,high,81,4/21/24,60,0,0,2.2208,2.2279,0.0071,2.2253,0.0026,0.0026,0.0107,0.0102,0.0107,0.010533333,0.000288675,0.003680476,2.861949033,0.000908472,61,9,0.000288889,0.908472,
B15W93,Aposymbiotic,Fed High Light,13,A,fed,high,26,3/22/24,30,0,0,2.237,2.2559,0.0189,2.2451,0.0108,0.0108,0.021,0.0197,0.0207,0.020466667,0.000680686,0.003680476,5.560875653,0.00194214,62,16,0.000675,1.94214,
B16W10,Aposymbiotic,Fed High Light,13,A,fed,high,103,5/21/24,90,0,0,2.2065,2.2209,0.0144,2.2131,0.0078,0.0078,0.0154,0.0146,0.0153,0.0151,0.00043589,0.003680476,4.102730734,0.001901173,11,14,0.000557143,1.901173,
B17W21,Aposymbiotic,Fed High Light,14,A,fed,high,48,4/21/24,60,0,0,2.2167,2.2265,0.0098,2.2222,0.0043,0.0043,0.0141,0.0146,0.0145,0.0144,0.000264575,0.003680476,3.912537919,0.001099031,62,11,0.000390909,1.099031,
B23W4,Aposymbiotic,Fed High Light,13,A,fed,high,38,3/22/24,30,0,0,2.2004,2.2082,0.0078,2.2039,0.0043,0.0043,0.0082,0.0082,0.0079,0.0081,0.000173205,0.003680476,2.200802579,0.001953833,63,11,0.000390909,1.953833,
B52W13,Aposymbiotic,Fed High Light,13,A,fed,high,100,3/22/24,30,0,0,2.1975,2.2057,0.0082,2.2028,0.0029,0.0029,0.0129,0.0124,0.0115,0.012266667,0.00070946,0.003680476,3.332902672,0.000870112,64,12,0.000241667,0.870112,
B59W90,Aposymbiotic,Fed High Light,13,A,fed,high,72,3/22/24,30,0,0,2.2526,2.2647,0.0121,2.2591,0.0056,0.0056,0.0189,0.018,0.0173,0.018066667,0.000802081,0.003680476,4.908786,0.001140812,65,18,0.000311111,1.140812,
B5W77,Aposymbiotic,Fed High Light,14,A,fed,high,118,4/21/24,60,0,0,2.2184,2.2251,0.0067,2.2223,0.0028,0.0028,0.0092,0.0077,0.0083,0.0084,0.000754983,0.003680476,2.282313786,0.001226825,68,8,0.00035,1.226825,
B63W43,Aposymbiotic,Fed High Light,14,A,fed,high,29,4/21/24,60,0,0,2.2193,2.2331,0.0138,2.2255,0.0076,0.0076,0.0144,0.0156,0.0143,0.014766667,0.000723418,0.003680476,4.012162727,0.00189424,69,13,0.000584615,1.89424,
